Funding Source Name,Compensation,
Jhusa,"49,999.99",
Personal Care Products Council,"174,000.00",
Liquor And Cannabis Board,"30,000.00",
Delta Dental Of Wa,"886,956.09",
Pierce County Regional Council,"16,000.00",
Yakima Co,"265,500.00",
Pemco Insurance,"395,000.00",
Six Action,"3,788.89",
Regional Water Cooperative Of Pierce Co,"213,750.00",
Republic Services,"239,400.00",
Washington Norml Pac,"5,841.00",
Wa Assn For Career & Technical Education,"80,000.00",
Washington Schools Risk Management Pool,"24,000.00",
"Longview Fibre Paper And Packaging, Inc. D/B/A Kapstone Kraft Paper Corporation (Gano & Assoc*)","16,509.00",
Woodinville Whiskey (Trent M House),"8,000.00",
Pacific Merchant Shipping Assn (Civic Group*),"1,300.00",
Wa Assn Of Juvenile Court Administrators,"201,692.24",
Turo Inc.,"75,000.00",
Back Country Horsemen Of Wa,"37,370.79",
Valley Medical Center,"399,000.00",
Wenatchee Valley Chamber Of Commerce,"101,499.00",
Crown Castle And Affiliates ,"45,000.00",
"Capitol Analysis Group, Llc","6,000.00",
North Olympic Legislative Alliance ,"28,000.00",
Manufactured Housing Communities Of Wa,"221,024.42",
Early Care And Education Consortium,319.99,
Deloitte Consulting Llp,"218,750.00",
Cities Insurance Assn Of Wa (Capitol Solutions*),"44,480.00",
City Of Vancouver (Mark O Brown),"151,030.00",
Service Contract Industry Cncl,"97,500.00",
Transalta Usa Inc,"142,750.00",
Seattle Foundation,"100,500.00",
Behind The Badge Foundation (Patrick Dunn & Associates Ltd*),"18,000.00",
Washington Association Of Colon Hydrotherapy,"36,000.00",
City Of Monroe,"215,500.00",
Arc Of King Co,"1,531.61",
Washington State Data Center Competitiveness Coalition,"309,964.00",
Life Center Northwest (Christophersen Inc*),355.76,
Northwest Motorcycle Assn,"16,500.00",
Smokey Point Behavioral Hospital,"30,000.00",
Confederated Tribes & Bands Of The Yakama Nation,"313,347.63",
Wa Ambulance Assn,"104,400.60",
Wfis,"35,500.00",
"Heritage Distilling Company, Inc.","16,500.00",
Masters Mates & Pilots Union,"89,249.85",
Seattle Theatre Group,"42,500.00",
Nez Perce Tribe,"28,000.00",
Firearms Policy Coalition,"13,222.95",
Agri Beef Co (Strategies 360*),"5,250.00",
Wa Low-Income Housing Alliance,"251,249.56",
League Of Women Voters Of Wa (Nancy L Sapiro),"10,000.00",
Onpoint Health Data,"28,933.00",
Wa & Northern Idaho Dist Council Laborers Union,"60,298.50",
Iron Workers Local Union 86,"16,000.00",
Port Of Port Angeles,"126,000.00",
Washington Clean Energy Company Llc,"60,000.00",
Humane Society Of The United States,"75,428.77",
Superior Court Judges Assn (Thomas M Parker),"4,000.00",
Ferry Co Commission,"15,570.00",
Grant Co Commission,"20,955.00",
Jamestown S'Klallam Tribe,"285,000.00",
Learning.Com,"1,500.00",
Whitman Co Commission,"16,170.00",
Wenatchee Valley Medical Group,"40,000.00",
Waymo Llc,"1,120.06",
Distributed Wind Energy Assn,"4,200.00",
American Wood Council,"3,800.00",
Mastercard Worldwide (Duncan & Associates*),"7,000.00",
Wa Wholesale Druggist Assn (Pierce Consulting Svcs Llc*),"13,672.25",
City Of Olympia (Jennifer Ziegler),"34,500.00",
"Novartis Services, Inc. ","290,474.81",
Recreational Equipment Inc,"12,000.00",
Wa St Emergency Managers Assn,"10,000.00",
Juul Labs Inc.,"197,700.00",
Brotherhood Of Locomotive Engineers & Trainmen,"88,815.52",
Reach Out & Read Inc,"5,481.42",
Wa Nonprofits (Pam Crone Legislative Consulting Svcs*),"22,498.48",
City Of Vancouver,"476,000.00",
Housing Development Consortium Of Seattle-King County,"3,000.00",
Recreational Gaming Assn,"75,200.00",
Assoc Students Of Wa St University Vancouver,"1,450.00",
Wa Bankers Assn,"853,652.44",
Wa St Major League Baseball Stadium Public Facilities District (Pfd),"48,500.00",
Bd Lawson Partners Lc,"91,500.00",
City Of Sedro-Woolley,"52,000.00",
City Of Quincy,"28,839.50",
Natl Assn Of Vision Care Plans,"75,000.00",
Rural Health Clinic Assn (Seib Policy & Public Affairs*),"26,250.00",
Eaze,"57,000.00",
Erica D Hallock (Self),500.00,
The Washington Treasurer'S Office (Mcbride Public Affairs Llc*),"57,248.00",
Statewide Poverty Action Network (Alex Hur),"10,000.00",
United Technologies Corp,"100,000.00",
Assn Of American Publishers,"216,010.80",
Renewable Energy Group,"441,063.67",
4Culture (Pierce Consulting Svcs Llc*),"2,017.95",
Professional Beauty Association,278.93,
Overton & Assoc,"104,995.93",
Bleeding Disorder Foundation Of Wa,"133,250.00",
Nami Wa,"90,889.84",
Tusk Ventures Llc (Gano & Assoc*),"3,750.00",
Wa St Financial Services Assn,"224,000.00",
"Pacific Fishermen Shipyard And Electric, Llc","1,000.00",
Grant Co Fire Dist #3,"15,000.00",
Seiu Healthcare 1199 Nw,"845,615.22",
Kapstone Paper And Packaging D/B/A Westrock,"60,500.00",
"Manufactured Housing Communities Of Wa (Public Affairs Consulting, Llc)","3,227.08",
Intl Longshore & Warehouse Union Puget Sound Dist Council,"117,495.78",
Tacoma Public Schools,"340,635.00",
Shell Oil Co (Gano & Assoc*),"30,376.56",
Serenity Houses,"20,000.00",
Wa St Now,"1,000.00",
Richland School District,"167,500.00",
Solstice,"30,000.00",
Navient Solutions Inc,"49,500.00",
Evgo Services Llc,"50,000.00",
Brigid Collins House,"5,818.58",
Total Wine & More,"243,750.00",
Franklin Co Public Utility Dist,"162,950.00",
Public School Employees Of Wa,"810,540.90",
Klickitat Co Commission,"20,350.00",
Amc,"46,000.00",
City Of Maple Valley,"171,000.00",
Kitsap Mental Health Services (Doty & Assoc Inc*),"9,000.00",
"Venuetize, Inc.","37,500.00",
Win Win Network,"111,564.52",
Tech 4 Housing,69.00,
Optometric Physicians Of Wa,"335,575.00",
"Ameriprise Financial, Inc. (Mcbride Public Affairs Llc*)","10,000.00",
Wa St Society For Clinical Social Work,"56,350.00",
Hampton Affiliates,"220,000.00",
Lloyd H Flem (Self),47.00,
Capital Region Esd 113,"89,100.00",
Grant Pud,"287,164.09",
Arrow Launch Services Inc,"49,804.00",
Cancer Pathways,"23,250.00",
"Presidio Networked Solutions Group, Llc","58,548.00",
Building Industry Assn Of Wa,"1,058,108.00",
Wa Education Assn - Southeast,"1,280.11",
Global Mobile (H2 Government Relations*),"5,333.28",
Everett Sd 002,"8,000.00",
"Family Wineries Of Wa St (Public Affairs Consulting, Llc)","2,864.60",
Wa Multi-Family Housing Assn,"228,800.00",
Tacoma Public Utilities,"436,500.00",
Intercity Transit,"181,499.99",
Paratransit Services,"108,000.00",
Associated Industries,"18,000.00",
Warby Parker,"42,500.00",
Wolf Haven International,"4,000.00",
Wa Mental Health Counselors Assn,"37,000.00",
Wa Friends Of Farms & Forests,"49,341.19",
City Of Carnation (Mark O Brown),"6,700.00",
Wa St Water Resources Assn,"266,704.53",
"Interise, Inc.","36,000.00",
Wa Reflexology Assn (Doty & Assoc Inc*),"5,625.00",
American Forest Resource Cncl,"215,664.00",
Apollo Education Group Inc,"195,000.00",
Fort Worden Foundation,"61,000.00",
Technology Access Foundation,"14,000.00",
Oath And Other Various Subsidiaries,"155,005.00",
Explore Information Services,"66,661.29",
Seiu 775,"1,435,575.67",
Spokane Public Schools,"149,450.99",
Seattle Arena Company (Boswell Consulting*),964.23,
Whatcom Co (Mcbride Public Affairs Llc*),"87,874.00",
Waacca,"57,500.00",
Wa Grain Commission,"198,150.00",
Ssa Marine,"40,500.00",
Alliance Of Auto Manufacturers,"268,684.33",
Associated Builders & Contractors--Inland Pacific Chapter,"54,554.00",
Western States Petroleum Assn,"1,789,101.84",
Battery Council International,"55,500.00",
Centene Corporation On Behalf Of Its Affiliates And Subsidiaries,"12,000.00",
City Of Granite Falls,"33,542.07",
Laborers Local Union 242,"8,260.00",
Socati Corp.,"60,000.00",
Entertainment Software Assn,"308,333.30",
"Dun & Bradstreet, Inc.","52,500.00",
Pacific Medical Centers,"11,000.00",
Regence Blue Shield,"736,500.00",
Philanthropy Northwest,"4,400.00",
National Elevator Industry Inc,"189,000.00",
Wa Assn Of Wine Grape Growers,"80,200.00",
Seattle Aquarium Society,"144,000.00",
Puget Sound Metal Trades Council,"57,000.00",
Tusk Montgomery Philanthropies,"8,000.00",
Seattle Music Foundation,"7,500.00",
Wa St Chapter Of The Sierra Club,"112,200.00",
Technology Network,"255,689.71",
Waypoint Consulting Group* (Self),"2,656.12",
American Chemistry Council,"471,000.00",
Childrens Home Society Of Wa,"79,353.33",
Wa St Dairy Federation,"740,000.00",
Assn Of Wa Aerial Applicators,"56,000.00",
Cigna Corporate Services,"357,097.31",
Assn Of Wa Business,"2,118,182.46",
Blue Origin Llc (Jean M Leonard*),"20,626.91",
City Of Mountlake Terrace,"209,433.31",
Pud #1 Of Cowlitz Co,"7,500.00",
Pharmaceutical Industry Labor-Management Association,"195,000.00",
Washington Bikes,"213,869.66",
Wa St Self Storage Assn,"139,609.48",
Burke Museum Association,"64,000.03",
"Delivery Express, Inc. (Public Affairs Consulting, Llc)","3,425.00",
Spectrum Health Systems (Melanie Stewart & Assoc Llc*),"2,700.00",
Wa St Assn Of Home Care Services,"4,500.00",
Nissan Of North America,"104,500.00",
Uaw Local 4121,"17,500.00",
American Coatings Association,"26,249.94",
Neighborhood House,"12,697.21",
Wal-Mart Stores (Gano & Assoc*),"21,263.50",
Broadband Communications Assn Of Wa (Ronald Main),"25,000.00",
Willapa-Grays Harbor Oyster Growers Assn,"123,823.00",
Salesforce.Com Inc.,"97,031.40",
"Wa Assn Of Vehicle Subagents (Public Affairs Consulting, Llc)","26,968.75",
Invenergy (David C Arbaugh),"8,750.00",
Evicore Healthcare,"117,500.04",
Wa St Patrol Lieutenants And Captains Assn (Jennifer Ziegler),"10,000.00",
Wa St Budget & Policy Center,"55,612.61",
Wa St Pta,"210,500.00",
City Of Kent,"339,450.00",
Medimpact Healthcare Systems Inc. (Gano & Assoc*),"2,500.00",
Business Health Trust,"5,000.00",
City Of Federal Way,"203,662.44",
Wa State Athletic Trainers Assn,"82,083.26",
Signature Healthcare Services Llc (Thomas M Parker),"36,000.00",
Les Schwab Tire Centers,"72,500.00",
New Venture Fund,"57,500.00",
Independent Business Assn,"48,250.00",
Kemper Development Co,"2,500.00",
Wa Water Policy Alliance,"127,452.00",
Wa State Community Action Partnership,"27,000.00",
Superintendent Of Public Instruction,"43,073.70",
"Teladoc, Inc.","15,000.00",
Community Assoc Institute (H2 Government Relations*),"15,750.00",
Walla Walla School District 140,"81,500.00",
Intl Union Of Operating Engineers Local 612,"14,696.00",
Eli Lilly & Company,"578,250.00",
Capital One Financial Corporation,"14,000.00",
Assoc Students Of Univ Of Wa,"33,813.45",
Express Scripts Holding Co,"320,983.74",
Northwestern Psychoanalytic Society & Institute,"2,500.00",
Assn Of Manufactured Home Owners,"1,006.75",
Fred Meyer (Oxley & Assoc),"202,200.00",
Port Of Seattle (Lmh Inc*),750.00,
Assoc Students Of Central Wa University,"17,159.09",
Providence Health & Services- Wa,"719,501.00",
International Brotherhood Of Boilermakers,"128,600.00",
City Of Ridgefield (Mark O Brown),"11,698.00",
Evergreen Public Affairs Llc* (Self),835.00,
"Wa Cemetary, Cremation & Funeral Assn.","78,625.00",
"Lamb Weston, Inc","115,500.00",
Millercoors (Gano & Assoc*),"12,159.67",
Stuart A Halsan (Self),300.00,
Indivior Plc,229.00,
Capitol Land Trust,"2,117.50",
Cvs Health,"302,289.20",
Anheuser-Busch Companies Inc,"298,333.28",
Broadway Center For The Performing Arts,"15,000.00",
Wa St Soc Of Oral/Maxillofacial Surgery,"113,000.00",
Vigor Industrial (Boswell Consulting*),"9,784.79",
Cnsi,"211,284.83",
Coalition Of Coastal Fisheries,"99,750.00",
Columbia Basin Railroad(Cbr)/Central Wa Railroad (Cwr),"112,000.00",
Health Facilities Planning & Development,"5,000.00",
Vapor Technology Assoc,"82,000.00",
Kimberly-Clark Corporation,"39,000.00",
Chelan Co Public Utility Dist #1,"905,100.00",
Northshore Education Assn,"9,658.90",
Progreso: Latino Progress Alliance,"3,746.56",
Seattle Cancer Care Alliance,"174,227.70",
Liberty Mutual Insurance,"270,000.00",
Win/Win Action,"9,000.00",
Northwest Career College Federation,"152,332.83",
Tudor Llc (Plauche & Carr Llp*),"10,500.00",
Snoqualmie Tribe  (Davor Gjurasic),"65,208.23",
Digitaltown Inc,"3,400.00",
Leadingage Wa,"664,033.25",
Chubb,"199,500.00",
Spokane Intl Airport,"376,928.97",
Wa Assn Community & Migrant Health Ctrs,"226,002.12",
Wa Indian Gaming Assn,"2,927.67",
Puget Sound Pilots,"349,268.00",
Waste Management Inc (Boswell Consulting*),"11,383.44",
"Teladoc Health, Inc.","15,000.00",
Cal Portland Company (Gano & Assoc*),"24,301.34",
Washington Green Schools (Grist Public Affairs Llc),935.71,
City Of Tukwila,"133,250.00",
Consumer Data Industry Assn,"211,641.00",
Wa St Assn Of Fire Chiefs (Doty & Assoc Inc*),"45,000.00",
Bristol-Myers Squibb Co,"238,200.00",
Cigar Assn Of Wa,"12,000.00",
Wsdla Washington State Dental Laboratory Association,"26,000.00",
Wells Fargo & Co,"187,342.61",
Wa Assn Of Building Officials,"156,000.00",
"Air-Conditioning, Heating, And Refrigeration Institute","13,830.65",
"Marathon Petroleum Corporation, Its Subsidiary Andeavor Llc, And Its Affiliates","4,500.00",
Have A Heart Cc,"166,005.00",
National Guard Assoc Of Wa,"39,999.84",
Wa Refuse & Recycling Assn,"363,800.00",
Save Family Farming,"1,000.00",
Cooperative Agricultural Producers Inc,"134,400.00",
The Imagine Institute,"4,000.00",
Wa Defender Assn,"93,555.10",
Wa Reflexology Assn,"14,125.00",
Wa St Martial Arts Assn,"41,250.00",
Wa St Fed Of Animal Care/Control Agencies,"17,166.60",
Port Of Royal Slope,"24,830.00",
City Of Othello,"128,670.00",
Methow Valley Citizens Council (Grist Public Affairs Llc),935.71,
Low Carbon Fuels Coalition ,"29,500.00",
Harris Corp,"112,000.00",
Joint Council Of Teamsters #28,"601,068.88",
Peacehealth (Boswell Consulting*),"36,511.50",
"Stand For Children, Inc.","320,809.93",
Action Dd,"108,000.00",
Taylor Shellfish Co Inc,"73,025.85",
Conservation Nw,"27,570.61",
Internet Association (Christophersen Inc*),"5,161.67",
American Traffic Solutions Inc (Stauffacher Communications*),"47,250.00",
Evergreen School Dist #114,"244,798.93",
King Co Sexual Assault Resource Center (Rnj Strategies),"8,000.00",
Frontier Communications,"232,611.94",
Clark County,"327,273.32",
R. L. Polk & Co.,"21,500.00",
Issaquah School District,"8,000.00",
Pacific Printing Industries Assn,"66,000.00",
Far West Agribusiness Assn (Mcbride Public Affairs Llc*),"3,000.00",
Kaiser Foundation Health Plan Of The Northwest,"101,140.00",
"Association Of Global Automakers, Inc. (Thru National Strategies, Llc)","9,000.00",
Waste Connections Inc,"119,500.00",
King Co Flood Control Dist (Washington 2 Advocates*),"25,000.00",
Washington Library Association,"155,109.00",
"World Education Services, Inc.",525.00,
Kaiser Aluminum (Gallatin Public Affairs*),"121,500.00",
Wa State Convention Center Public Facilities Dist,"207,500.00",
Google Llc,"60,395.12",
Amazon.Com Services Llc,"396,622.05",
Wa Speech & Hearing Assn,"85,500.00",
Action Dd (Government Relations Services*),"65,334.00",
"Intl Council Of Shopping Centers (Public Affairs Consulting, Llc)","2,643.75",
Ameripen,"14,600.00",
Evergreen State Taxi Association,"15,900.00",
Assn Of Wa Cities,"98,297.80",
Hampton Affiliates (Christophersen Inc*),"16,004.31",
American Rental Assn (Thru Multistate),"97,499.97",
Edp Renewables North America,"24,500.00",
Check Into Cash (Thru Multistate),"39,574.44",
Washington Mesa,"15,750.00",
Philips Electronics North America,"60,000.00",
Wa State Council Of County & City Employees,"107,768.38",
Douglas Co Commission,"19,360.00",
Charter Communications,"8,106.20",
Food Northwest (Coyne Jesernig Llc),"19,000.00",
Financial Services Stakeholder Project Nfp,362.50,
Turo Inc. (Ludeman Public Affairs),"37,500.00",
Yoga Alliance (Christophersen Inc*),"1,040.89",
Elevator Industry Work Preservation Fund,"33,000.00",
International Social Games Association,"264,000.00",
Wa Assn Of Naturopathic Physicians,"143,500.00",
Purdue Pharma,"132,000.00",
Tacoma-Pierce Co Chamber Of Commerce,"137,000.00",
Wa St Catholic Conference,"332,428.79",
Wa Oil Marketers Assn,"253,044.00",
Advance America (Thru Multistate),"39,574.44",
Aifs,"5,000.00",
Tacoma-Pierce Co Health Dept,"73,500.00",
Wa St Assn Of Fire Chiefs,"301,389.75",
Union Of Concerned Scientists,"2,020.00",
American Cancer Society Cancer Action Network,"155,572.55",
Bloodworks Nw,"82,139.00",
Yakima Basin Joint Board,"34,000.00",
Habitat For Humanity Seattle-King County,17.43,
Hcaw Pac,"8,000.00",
Dji Technology Inc,"196,000.00",
Wa Insurers,"465,669.46",
Sprint Nextel,"150,000.00",
Vapor Technology Assoc (Gallatin Public Affairs*),"17,500.00",
Wa Technology Industry Assn,"524,400.00",
Boehringer Ingelheim Pharmaceuticals Inc,"174,000.00",
Washinton State Coin & Bullion Association ,"2,500.00",
Natl Assn Of Insurance & Financial Advisors,"166,500.00",
Walden University C/O Multistate Associates Inc.,"60,000.00",
Wa Bail Bond Coalition (Doty & Assoc Inc*),"3,000.00",
Future Income Payments,"108,000.00",
Big Brothers Big Sisters,"185,846.67",
Wells Fargo & Co (Gano & Assoc*),"19,744.58",
Boeing Employees Credit Union,"589,211.10",
East King Co Chamber Of Comm Leg Coalition,"3,259.37",
Sierra Club,"90,727.00",
Google Llc And Its Affiliates,"259,548.51",
Alaska Airlines,"315,000.00",
Greater Seattle Chamber Of Commerce (Boswell Consulting*),"8,683.79",
Ebay Inc (Civic Group*),"1,300.00",
Wa St School Retirees Assn,"534,571.00",
Wa St Academy Of Nutrition & Dietetics,"3,000.00",
Port Of Bellingham,"112,500.00",
Vulcan Inc (Pierce Consulting Svcs Llc*),"19,661.17",
American International Group Inc ,"185,500.00",
"The Good Food Institute, Inc.",782.60,
Amalgamated Transit Union Leg Council,"151,036.56",
Wa Academy Of Family Physicians (Seib Policy & Public Affairs*),"26,250.00",
Wa St Fire Fighters Assn,"64,700.00",
General Teamsters Local Union 174,"42,000.00",
Wa Campus Compact,"17,635.00",
The Savory Butcher Llc,"15,000.00",
Independent Colleges Of Washington,"194,469.50",
Cannabis Organization Of Retail Establishments,"94,720.00",
Nippon Paper Industries Usa (Boswell Consulting*),"7,918.50",
Sammamish Uniserv Council,581.42,
Olympic Medical Center,"85,000.00",
Pilchuck Glass School,"12,000.00",
Wa Recreation & Parks Assn,"126,500.00",
Washington For Good Policing,"10,000.00",
Port Of Vancouver,"246,500.00",
Puget Sound Advocates For Retirement Action,"4,389.50",
Education Management Corp,"130,000.00",
Thrive Washington,"156,228.01",
Pacificlean Environmental Of Wa Llc,"5,822.50",
Drive Forward Seattle,"2,900.00",
American Fraternal Alliance,"15,000.00",
Assn Of Dental Support Organizations,"495,000.00",
Sanitary Service Co (Patrick Dunn & Associates Ltd*),"11,000.00",
Alkermes Plc (Millennia Public Affairs Inc*),"45,000.00",
Vancouver Clinic (Seib Policy & Public Affairs*),"25,000.00",
City Of Richland,"171,000.00",
City Of Edmonds,"193,451.00",
Health Care For All-Washington,"56,625.00",
Assn Of Wa Spirits & Wine Distributors,"873,050.00",
The Nature Conservancy,"316,618.24",
Wa Assn Of County Officials,"617,460.68",
Koch Co Public Sector Llc & Affiliates,"285,000.00",
Uber Technologies Inc,"321,799.00",
Craft3,"14,784.68",
Seattle Education Assn,"3,062.84",
Pre-Paid Legal Services Inc,"116,937.50",
Wa Health Alliance,"34,950.00",
Greater Seattle Business Assn,"71,956.36",
"Gb Auctions, Inc  (Government Relations Services*)","6,875.00",
Virginia Mason Medical Center,"300,525.00",
Maritime Fire & Safety Assn,"72,500.00",
Eastside For Hire Inc,"4,500.00",
City Of Libertry Lake (Jennifer Ziegler),"11,000.00",
"Community Resources For Justice, Inc.","1,155.00",
Secure Democracy,"50,192.00",
Woods At Sylvia Creek Uc,"2,500.00",
Midas Education,"18,000.00",
Lemay-America'S Car Museum,"30,000.00",
Youngs Holdings Inc,"319,500.00",
Puget Sound Advocates For Retirement Action (Pam Crone Legislative Consulting Svcs*),"3,935.50",
American Family Life Assurance Company (Aflac),"28,000.00",
"Medical Evaluation Specialists, Llc","43,636.32",
Nw Grocery Assn (Hpc Advocacy*),"40,000.00",
Quicken Loans,"1,592.31",
Nw Food Processors Assn,"180,000.00",
Northwest Yacht Brokers Assn (Chester Baldwin),583.33,
Okanogan Co Commission,"20,900.00",
Ddc Public Affairs  (Gallatin Public Affairs*),"5,750.00",
International Business Machines Corporation (Ibm),"109,000.00",
American Association Of Orthodontists,"9,000.00",
Seattle Psychoanalytic Society & Institute,"4,475.00",
23Rd Neighborhood Improvement Llc Dba Uncle Ike'S,"45,000.00",
Natl Rifle Assn Of America,"187,921.05",
Wa Poison Center,"73,695.00",
Unemployment Law Project,"22,499.00",
Boys & Girls Clubs Of Snohomish County,"11,800.00",
Wa St Building & Construction Trades Council,"727,632.00",
Northwest Health Law Advocates,"63,413.86",
Churchill Downs Incorporated,"7,500.00",
Schweitzer Engineering Laboratories,"4,000.00",
College Success Foundation,"301,129.52",
Open Arms Perinatal Services,"34,000.00",
Verify4,"10,000.00",
Highline College,"117,000.00",
Wa Library Media Assn,"6,600.00",
Wa St Farm Bureau,"686,000.00",
American Traffic Solutions Inc,"229,500.00",
City Of Seattle,"903,337.50",
Coordinated Care,"642,000.00",
Whatcom Co Council Of Governments,"197,491.12",
Wa Federation Of State Employees,"1,298,971.01",
Community Bankers Of Wa,"192,600.00",
National Psoriasis Foundation,"49,611.72",
Westaf,"82,999.98",
Avesis Incorporated (Seib Policy & Public Affairs*),"1,250.00",
Spark Therapeutics Inc.,"46,000.00",
American Massage Therapy Assn- Wa Chapter,"143,751.00",
Rainier Uniserv Council,"3,638.22",
Valley Medical Center (D Michener & Co Inc*),"1,875.00",
Communities In Schools Of Wa,"137,285.38",
Port Of Walla Walla,"142,700.00",
Benton Rural Electric Assn,"65,577.47",
Veritec Solutions Llc,"112,000.00",
City Of Kennewick,"169,315.16",
Public Works Board,"232,900.97",
Liberty Health Partners,"24,000.00",
Merit International Inc.,"42,500.00",
Wildlands Network,"24,000.00",
Nintendo Of America,"341,000.00",
Fantasy Sports Trade Assn,"66,000.00",
Girls Who Code (Cascade Govt Affairs Llc*),"10,000.00",
Pacific Technology Alliance,"70,280.00",
Iuoe Local 302,"363,202.61",
Appriss Inc,"114,000.00",
Triple C Collective,"7,500.00",
At&T Services Inc (Gano & Assoc*),"35,887.21",
Associated Student Gov Of Bellevue College,"2,052.00",
Recreation Vehicle Industry Association,"48,000.00",
Conservation Nw (Arledge Group),"11,250.00",
Thyssenkrupp Elevator,"260,000.00",
American Staffing Association,"26,673.23",
Port Gamble S'Klallam Tribe (Davor Gjurasic),"157,708.53",
Wa Charters Action (Pierce Consulting Svcs Llc*),"17,784.15",
Pacificsource Health Plans,"106,500.00",
"Association Of Global Automakers, Inc.","83,118.76",
Ibew Local 77,"100,194.76",
Manufacturing Industrial Council Of Seattle,"9,000.00",
Washington State Security Council,"5,000.00",
Amgen Inc,"401,876.00",
Wa Asparagus Commission,"48,000.00",
Amerihealth Caritas,"130,000.00",
Life Science Washington,"404,494.01",
Thomson Reuters,"78,914.51",
Spectrum Health Systems,"81,963.84",
Chspsc Llc,"123,500.00",
Recreational Boating Assn Of Wa,"102,300.00",
Vigor Industrial,"271,000.00",
Itek Energy,"29,000.00",
Toy Association (Grant Nelson),"110,500.00",
Kalispel Tribe (Luke Esser),"5,000.00",
Merck Sharp & Dohme Corp & Affiliates (Christophersen Inc*),"16,004.31",
Benton Pud,"269,000.00",
Wa Restaurant Assn,"244,985.50",
Roza Irrigation District,"5,250.00",
Ballmer Giving,"131,378.00",
Plumbing-Heating-Cooling Contractors Association,"12,500.04",
"Bluebird Bio, Inc.","192,000.00",
Group Health Foundation,"82,485.00",
City Of Woodinville,"66,590.00",
Columbia Riverkeeper,745.24,
Virginia Mason Medical Center (Melanie Stewart & Assoc Llc*),"5,000.00",
Seattle King Co Convention & Visitors Bureau,"122,000.00",
Iuoe Local 609,"21,732.49",
"Waste Management Of Washington, Inc. (Boswell Consulting*)","30,157.67",
Astellas Pharma Us Inc,"392,939.80",
